Campus,Sex,Area ID,Area,Career,Academic Degree,Students
CU,Hombre,2,Artes y humanidades,Historia del arte,Doctorado,37
CU,Hombre,2,Artes y humanidades,Lengua y literatura moderna (italianas),Licenciatura,41
CU,Hombre,2,Artes y humanidades,Historia del arte,Maestría,37
CU,Hombre,2,Artes y humanidades,Literatura dramática y teatro,Licenciatura,215
CU,Hombre,2,Artes y humanidades,Filosofía de la ciencia,Maestría,36
CU,Hombre,2,Artes y humanidades,Geohistoria,Licenciatura,41
CU,Hombre,2,Artes y humanidades,Letras,Doctorado,58
CU,Hombre,2,Artes y humanidades,Filosofía de la ciencia,Maestría,38
CU,Hombre,2,Artes y humanidades,Historia del arte,Licenciatura,27
CU,Hombre,2,Artes y humanidades,Historia del arte,Especialidad,9
CU,Hombre,2,Artes y humanidades,Literatura intercultural,Licenciatura,37
CU,Hombre,2,Artes y humanidades,Estudios latinoamericanos,Maestría,55
CU,Hombre,2,Artes y humanidades,Lengua y literatura moderna (italianas),Licenciatura,44
CU,Hombre,2,Artes y humanidades,Historia,Licenciatura,844
CU,Hombre,2,Artes y humanidades,Letras,Maestría,8
CU,Hombre,2,Artes y humanidades,Estudios mesoamericanos,Doctorado,20
CU,Hombre,2,Artes y humanidades,Música y tecnología artística,Licenciatura,25
CU,Hombre,2,Artes y humanidades,Historia,Maestría,24
CU,Hombre,2,Artes y humanidades,Filosofía,Maestría,33
CU,Hombre,2,Artes y humanidades,Historia,Licenciatura,834
CU,Hombre,2,Artes y humanidades,Lengua y literatura moderna (alemanas),Licenciatura,41
CU,Hombre,2,Artes y humanidades,Filosofía,Licenciatura,859
CU,Hombre,2,Artes y humanidades,Letras,Maestría,46
CU,Hombre,2,Artes y humanidades,Estudios mesoamericanos,Doctorado,29
CU,Hombre,2,Artes y humanidades,Estudios mesoamericanos,Doctorado,53
CU,Hombre,2,Artes y humanidades,Historia,Licenciatura,771
CU,Hombre,2,Artes y humanidades,Letras clásicas,Licenciatura,103
CU,Hombre,2,Artes y humanidades,Filosofía,Maestría,59
CU,Hombre,2,Artes y humanidades,Historia del arte,Licenciatura,39
CU,Hombre,2,Artes y humanidades,Traducción,Licenciatura,5
CU,Hombre,2,Artes y humanidades,Literatura intercultural,Licenciatura,38
CU,Hombre,2,Artes y humanidades,Música,Maestría,39
CU,Hombre,2,Artes y humanidades,Lengua y literatura hispánicas,Licenciatura,687
CU,Hombre,2,Artes y humanidades,Filosofía,Licenciatura,973
CU,Hombre,2,Artes y humanidades,Estudios latinoamericanos,Doctorado,79
CU,Hombre,2,Artes y humanidades,Lingüística,Doctorado,2
CU,Hombre,2,Artes y humanidades,Lengua y literaturas modernas (letras portuguesas),Licenciatura,20
CU,Hombre,2,Artes y humanidades,Arte y diseño,Licenciatura,46
CU,Hombre,2,Artes y humanidades,Historia,Doctorado,47
CU,Hombre,2,Artes y humanidades,Lengua y literatura moderna (francesas),Licenciatura,44
CU,Hombre,2,Artes y humanidades,Lingüística,Doctorado,12
CU,Hombre,2,Artes y humanidades,Filosofía,Licenciatura,877
CU,Hombre,2,Artes y humanidades,Lingüística aplicada,Maestría,9
CU,Hombre,2,Artes y humanidades,Letras,Doctorado,41
CU,Hombre,2,Artes y humanidades,Lengua y literaturas modernas (francesas),Licenciatura,40
CU,Hombre,2,Artes y humanidades,Filosofía,Licenciatura,940
CU,Hombre,2,Artes y humanidades,Estudios mesoamericanos,Maestría,10
CU,Hombre,2,Artes y humanidades,Lengua y literatura hispánicas,Licenciatura,559
CU,Hombre,2,Artes y humanidades,Lengua y literatura moderna (alemanas),Licenciatura,27
CU,Hombre,2,Artes y humanidades,Diseño y comunicación visual,Maestría,25
CU,Hombre,2,Artes y humanidades,Música y tecnología artística,Licenciatura,40
CU,Hombre,2,Artes y humanidades,Arte y diseño,Licenciatura,56
CU,Hombre,2,Artes y humanidades,Lingüística hispánica,Maestría,14
CU,Hombre,2,Artes y humanidades,Estudios latinoamericanos,Licenciatura,213
CU,Hombre,2,Artes y humanidades,Lingüística aplicada,Licenciatura,17
CU,Hombre,2,Artes y humanidades,Traducción,Licenciatura,11
CU,Hombre,2,Artes y humanidades,Lengua y literatura moderna (inglesas),Licenciatura,136
CU,Hombre,2,Artes y humanidades,Lingüística aplicada,Maestría,1
CU,Hombre,2,Artes y humanidades,Historia,Licenciatura,795
CU,Hombre,2,Artes y humanidades,Letras clásicas,Licenciatura,115
CU,Hombre,2,Artes y humanidades,Estudios latinoamericanos,Doctorado,70
CU,Hombre,2,Artes y humanidades,Historia,Maestría,30
CU,Hombre,2,Artes y humanidades,Letras,Doctorado,30
CU,Hombre,2,Artes y humanidades,Historia del arte,Maestría,38
CU,Hombre,2,Artes y humanidades,Cine documental,Maestría,8
CU,Hombre,2,Artes y humanidades,Historia,Doctorado,39
CU,Hombre,2,Artes y humanidades,Historia del arte,Especialidad,8
CU,Hombre,2,Artes y humanidades,Lengua y literatura hispánicas,Licenciatura,589
CU,Hombre,2,Artes y humanidades,Diseño industrial,Maestría,7
CU,Hombre,2,Artes y humanidades,Filosofía de la ciencia,Maestría,41
CU,Hombre,2,Artes y humanidades,Filosofía de la ciencia,Maestría,41
CU,Hombre,2,Artes y humanidades,Arte y diseño,Licenciatura,34
CU,Hombre,2,Artes y humanidades,Letras clásicas,Licenciatura,146
CU,Hombre,2,Artes y humanidades,Lengua y literatura moderna (inglesas),Licenciatura,132
