Institution ID,Institution,Campus ID,Campus,Sex ID,Sex,Area ID,Area,Career ID,Career,Academic Degree ID,Academic Degree,Students
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,522f2122b7002d0310cebba9bb4dec3242c5db8cf30c9217db01c6e3cd09335e,Maestría en docencia para la educación media superior: historia,13,Maestría,7
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,5bd4ec24c8d9ff57fc7572f7d87513a1696a75e02f9476cf7a5da1efd990bf2b,Maestría en docencia para la educación media superior: geografía,13,Maestría,4
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,5cd97541016fc3f503a0f13b08057546179cf7c460dc87287002e0dafef1aecf,Maestría en docencia para la educación media superior: matemáticas,13,Maestría,21
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,5de791f915e7252e4449f94ee5a6c0c1b922e7f5bd5276c742473cd32b50d737,Maestría en docencia para la educación media superior: letras,13,Maestría,4
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,6175ba69f99abf17d54dbad8289559a4a47f0ef7bfa838026c7c6b3299b1a7e6,Maestría en docencia para la educación media superior: física,13,Maestría,8
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,67e0bfad1220873686d5f2c3d766c8967367322ac2a37d31a1885ebc45eef597,Maestría en docencia para la educación media superior: ciencias de la salud,13,Maestría,2
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,699cf73f0de23f4d927b781c6ad818cdb6d8a72e743c443f31e6fc37bb50f793,Maestría en docencia para la educación media superior: filosofía,13,Maestría,11
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,6ca95962d9556ff019cbee7863341dcc7fe8a6394e72d5037db1e24173795d18,Maestría en docencia para la educación media superior: letras,13,Maestría,1
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,7483f1986e193b7b56f67514d6e27219b680b190e4820fc41820f2e239b1b39e,Maestría en docencia para la educación media superior: francés,13,Maestría,0
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,77fc94fd50ab4e573b698f07f214583e1a492d141ba9b05a93dfa427dedaeeef,Maestría en docencia para la educación media superior: ciencias sociales,13,Maestría,9
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,83fcc1d77646ee202d58b2d112706c2e735076c6cbc8cfa6164a22a94245c402,Maestría en docencia para la educación media superior: matemáticas,13,Maestría,5
